classification,orientation,distance,time,predicted
different,0.09762,0.107,0.39837,different
different,0.82099,0.482,0.00754,different
same,0,0.009,0.00013,same
different,0.09762,0.107,0.39839,different
different,0.82099,0.482,0.00756,different
same,0,0,0.00002,same
different,0.09762,0.11,0.39852,different
different,0.82099,0.49,0.00769,different
same,0,0.009,0.00013,same
different,0.09762,0.11,0.39854,different
different,0.82099,0.49,0.00771,different
same,0,0,0.00002,same
different,0.09762,0.114,0.39866,different
different,0.82099,0.498,0.00783,different
same,0,0.009,0.00012,same
different,0.09762,0.114,0.39876,different
different,0.82099,0.498,0.00793,different
same,0,0,0.0001,same
different,0.09762,0.118,0.39881,different
different,0.82099,0.507,0.00798,different
same,0,0.009,0.00005,same
different,0.09762,0.118,0.39882,different
different,0.82099,0.507,0.00799,different
same,0,0,0.00001,same
different,0.09762,0.123,0.39897,different
different,0.82099,0.515,0.00814,different
same,0,0.009,0.00015,same
different,0.09762,0.123,0.39898,different
different,0.82099,0.515,0.00815,different
same,0,0,0.00001,same
different,0.09762,0.128,0.3991,different
different,0.82099,0.524,0.00827,different
same,0,0.009,0.00012,same
different,0.09762,0.128,0.39912,different
different,0.82099,0.524,0.00829,different
same,0,0,0.00002,same
different,0.09762,0.134,0.39925,different
different,0.82099,0.532,0.00842,different
same,0,0.009,0.00013,same
different,0.09762,0.134,0.39926,different
different,0.82099,0.532,0.00844,different
same,0,0,0.00002,same
different,0.09762,0.14,0.39939,different
different,0.82099,0.54,0.00856,different
same,0,0.009,0.00012,same
different,0.09762,0.14,0.3994,different
different,0.82099,0.54,0.00858,different
same,0,0,0.00002,same
different,0.09762,0.146,0.39954,different
different,0.82099,0.549,0.00872,different
same,0,0.009,0.00014,same
different,0.09762,0.146,0.39956,different
different,0.82099,0.549,0.00873,different
same,0,0,0.00002,same
different,0.28493,0.152,0.39968,different
different,0.63368,0.557,0.00886,different
same,0.18731,0.008,0.00012,same
different,0.28493,0.152,0.39977,different
different,0.63368,0.557,0.00894,different
same,0,0,0.00009,same
different,0.28493,0.159,0.39982,different
different,0.63368,0.565,0.009,different
same,0,0.008,0.00005,same
different,0.28493,0.159,0.39984,different
different,0.63368,0.565,0.00901,different
same,0,0,0.00002,same
different,0.28493,0.165,0.39999,different
different,0.63368,0.573,0.00916,different
same,0,0.008,0.00015,same
different,0.28493,0.165,0.4,different
different,0.63368,0.573,0.00917,different
same,0,0,0.00001,same
different,0.28493,0.171,0.40012,different
different,0.63368,0.58,0.00929,different
same,0,0.008,0.00012,same
different,0.28493,0.171,0.40014,different
different,0.63368,0.58,0.00931,different
same,0,0,0.00002,same
different,0.28493,0.178,0.40027,different
different,0.63368,0.588,0.00944,different
same,0,0.008,0.00013,same
different,0.28493,0.178,0.40028,different
different,0.63368,0.588,0.00945,different
same,0,0,0.00001,same
different,0.28493,0.185,0.40042,different
different,0.63368,0.596,0.00959,different
same,0,0.008,0.00014,same
different,0.28493,0.185,0.40044,different
different,0.63368,0.596,0.00961,different
same,0,0,0.00002,same
different,0.28493,0.192,0.40056,different
different,0.63368,0.604,0.00973,different
same,0,0.008,0.00012,same
different,0.28493,0.192,0.40057,different
different,0.63368,0.604,0.00974,different
same,0,0,0.00001,same
different,0.28493,0.199,0.40078,different
different,0.63368,0.612,0.00995,different
same,0,0.008,0.00021,same
different,0.28493,0.199,0.4008,different
different,0.63368,0.612,0.00997,different
same,0,0,0.00002,same
different,0.28493,0.206,0.40085,different
different,0.63368,0.619,0.01002,different
same,0,0.008,0.00005,same
different,0.28493,0.206,0.40087,different
different,0.63368,0.619,0.01004,different
same,0,0,0.00002,same
different,0.28493,0.213,0.40101,different
different,0.63368,0.627,0.01018,different
same,0,0.009,0.00014,same
different,0.28493,0.213,0.40102,different
different,0.63368,0.627,0.01019,different
same,0,0,0.00002,same
different,0.28493,0.22,0.40114,different
different,0.63368,0.635,0.01031,different
same,0,0.008,0.00011,same
different,0.28493,0.22,0.40116,different
different,0.63368,0.635,0.01033,different
same,0,0,0.00003,same
different,0.45967,0.227,0.40129,different
different,0.45894,0.643,0.01046,different
same,0.17474,0.008,0.00012,same
different,0.45967,0.227,0.4013,different
different,0.45894,0.643,0.01047,different
same,0,0,0.00002,same
different,0.45967,0.234,0.40144,different
different,0.45894,0.65,0.01061,different
same,0,0.008,0.00013,same
